bond_pair,reaction,mol_name,mol_cas,mol_url,Hf_mol_kJ_mol,Hf_mol_ref,radA_name,radA_cas,radA_url,Hf_radA_kJ_mol,Hf_radA_ref,radB_name,radB_cas,radB_url,Hf_radB_kJ_mol,Hf_radB_ref,BDE_kJ_mol,status,notes
H-H,H2 → 2 H•,Hydrogen,1333-74-0,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1333740&Mask=1,0.0,definição IUPAC/CODATA — elemento no estado padrão,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",436.0,ok,
C-H,CH4 → CH3• + H•,Methane,74-82-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C74828&Mask=1,-74.87,"Chase, 1998",Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",438.56,ok,
N-H,NH3 → NH2• + H•,Ammonia,7664-41-7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664417&Mask=1,-45.94,"Cox, Wagman, et al., 1984",Amino radical,13770-40-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13770406&Mask=1,190.37,"Chase, 1998",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",454.31,ok,
O-H,H2O → OH• + H•,Water,7732-18-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7732185&Mask=1,-241.826,"Cox, Wagman, et al., 1984",Hydroxyl radical,3352-57-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3352576&Mask=1,38.99,"Chase, 1998",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",498.81,ok,
S-H,H2S → SH• + H•,Hydrogen sulfide,7783-06-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783064&Mask=1,-20.6,"Cox, Wagman, et al., 1984",Mercapto radical,13940-21-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13940211&Mask=1,139.33,"Chase, 1998",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",377.93,ok,
F-H,HF → F• + H•,Hydrogen fluoride,7664-39-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664393&Mask=1,-273.3,"Cox, Wagman, et al., 1984",Fluorine atom,14762-94-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14762948&Mask=1,79.38,"Cox, Wagman, et al., 1984",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",570.68,ok,
Cl-H,HCl → Cl• + H•,Hydrogen chloride,7647-01-0,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7647010&Mask=1,-92.31,"Cox, Wagman, et al., 1984",Chlorine atom,22537-15-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C22537151&Mask=1,121.301,"Cox, Wagman, et al., 1984",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",431.61,ok,
Br-H,HBr → Br• + H•,Hydrogen bromide,10035-10-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10035106&Mask=1,-36.29,"Cox, Wagman, et al., 1984",Bromine atom,10097-32-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10097322&Mask=1,111.87,"Cox, Wagman, et al., 1984",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",366.16,ok,
I-H,HI → I• + H•,Hydrogen iodide,10034-85-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10034852&Mask=1,26.5,"Cox, Wagman, et al., 1984",Iodine atom,14362-44-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14362448&Mask=1,106.76,"Cox, Wagman, et al., 1984",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",298.26,ok,
P-H,PH3 → PH2• + H•,Phosphine,7803-51-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7803512&Mask=1,5.47,"Chase, 1998",Phosphino radical,13765-44-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13765441&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Phosphino radical)
Si-H,SiH4 → SiH3• + H•,Silane,7803-62-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7803625&Mask=1,34.31,"Chase, 1998",Silyl radical,13765-44-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13765441&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Silyl radical)
